Date;Libelle;Montant;Type
01/01/2024;PRLV Netflix;-13.49;Prelevement
01/01/2024;PRLV SPOTIFY FRANCE;-10.99;Prelevement
05/01/2024;VIR Salaire Entreprise SA;2800.00;Virement
08/01/2024;CB CARREFOUR CITY;-54.30;Carte
10/01/2024;CB MACDONALD PARIS;-11.80;Carte
12/01/2024;PRLV EDF CONTRAT;-85.00;Prelevement
14/01/2024;CB SNCF PARIS;-45.00;Carte
15/01/2024;CB UBER;-12.50;Carte
16/01/2024;CB ZARA FRANCE;-59.95;Carte
18/01/2024;CB AMAZON EU SARL;-34.99;Carte
20/01/2024;VIR LOYER JANVIER;-750.00;Virement
22/01/2024;CB RESTAURANT LE BISTROT;-38.00;Carte
25/01/2024;PRLV AMAZON PRIME;-6.99;Prelevement
27/01/2024;PRLV DISNEY PLUS;-8.99;Prelevement
28/01/2024;CB MONOPRIX;-43.20;Carte
30/01/2024;PRLV MICROSOFT 365;-10.00;Prelevement
01/02/2024;PRLV Netflix;-13.49;Prelevement
01/02/2024;PRLV SPOTIFY FRANCE;-10.99;Prelevement
05/02/2024;VIR Salaire Entreprise SA;2800.00;Virement
08/02/2024;CB CARREFOUR CITY;-62.15;Carte
10/02/2024;CB LECLERC;-87.45;Carte
12/02/2024;PRLV EDF CONTRAT;-85.00;Prelevement
14/02/2024;CB UBER;-8.90;Carte
18/02/2024;CB AMAZON EU SARL;-24.99;Carte
20/02/2024;VIR LOYER FEVRIER;-750.00;Virement
22/02/2024;CB THAI HOUSE RESTAURANT;-45.00;Carte
25/02/2024;PRLV AMAZON PRIME;-6.99;Prelevement
27/02/2024;PRLV DISNEY PLUS;-8.99;Prelevement
30/02/2024;PRLV MICROSOFT 365;-10.00;Prelevement
01/03/2024;PRLV Netflix;-13.49;Prelevement
01/03/2024;PRLV SPOTIFY FRANCE;-10.99;Prelevement
05/03/2024;VIR Salaire Entreprise SA;2800.00;Virement
10/03/2024;CB CARREFOUR;-71.30;Carte
12/03/2024;PRLV EDF CONTRAT;-85.00;Prelevement
15/03/2024;CB FNAC;-49.90;Carte
20/03/2024;VIR LOYER MARS;-750.00;Virement
22/03/2024;CB SUSHI RESTAURANT;-32.00;Carte
25/03/2024;PRLV AMAZON PRIME;-6.99;Prelevement
27/03/2024;PRLV DISNEY PLUS;-8.99;Prelevement
28/03/2024;CB DECATHLON;-79.95;Carte
30/03/2024;PRLV MICROSOFT 365;-10.00;Prelevement
